pidp,alpha_sim,wgt_indiv
261125,-.082692564,2.678613424301147
280165,.043915235,1.127262353897095
813285,.030699816,1.256053447723389
956765,.050270148,1.500924110412598
2665605,-.0043791067,.8147016763687134
2853965,.042140491,1.784163117408752
2932845,.003111043,1.204275727272034
68004087,-.080006264,.6044986248016357
68006139,-.034034319,1.668178200721741
68006807,.053165369,1.156547069549561
68007487,.071209557,1.343748211860657
68007491,.075178698,1.272989988327026
68007499,.067423165,1.775944471359253
68008847,.059709776,1.110855460166931
68009527,.20183665,.9739894866943359
68010887,.023128467,1.04171085357666
68020407,.094828002,.9534786343574524
68021765,.067548215,1.426172971725464
68021769,.082780145,.524204432964325
68021773,.088869475,.6350853443145752
68021781,.032747917,1.064819097518921
68025847,-.061433624,1.51544713973999
68028567,-.11764541,.9917940497398376
68028571,-.10831113,1.236289739608765
68028575,-.034592811,1.090151190757751
68028579,-.03711769,1.251945614814758
68028583,-.11038274,1.26735520362854
68028587,-.073439531,1.230109930038452
68031967,.010077816,1.196067214012146
68035365,.0078434935,2.465803861618042
68035367,.20621614,.8398263454437256
68036727,.043311331,2.421542167663574
68037407,-.022754673,1.557684779167175
68037411,.0012455722,1.835660219192505
68040127,.21486624,1.068587899208069
68041487,.018614685,.4387738704681396
68041491,.0082099205,.6984447836875916
68041499,.067973033,.469469279050827
68042167,.12553634,.7101377248764038
68042171,.12371407,.7089398503303528
68042175,.15192497,.7111911177635193
68043527,.17273819,.8233720660209656
68044207,-.070220031,.9734059572219849
68044211,-.098716781,.738284707069397
68044215,-.045854948,.9417688250541687
68044219,-.07136637,.9417688250541687
68044887,-.054788191,1.214965581893921
68044891,-.0080315704,1.306637525558472
68045567,.048141878,.8709457516670227
68045571,-.054353513,.8349490165710449
68045575,.062271267,1.038665771484375
68046927,-.029665131,.9754088521003723
68046931,.0038296089,.9296401739120483
68046935,-.0086218808,1.047576069831848
68046939,-.0062426073,.9731079339981079
68048287,-.17990191,1.323952436447144
68049647,.207479,1.306158542633057
68049651,.2034875,1.228230237960815
68049655,.03128976,1.828027367591858
68049659,.17449471,2.118597269058228
68051007,.13212156,.9118610024452209
68051011,.11401258,.4805186092853546
68051687,-.0016038835,1.419970870018005
68051691,.0033219431,1.233126997947693
68056447,.0069577289,1.551440119743347
68056451,-.001034976,1.4362952709198
68056455,-.047911037,2.48109769821167
68056459,.022670491,1.860980749130249
68056463,.020446904,1.767377972602844
68058485,.024396518,.9359758496284485
68058487,.17648821,.8194844126701355
68058489,.049151823,.8926600813865662
68058491,.17868911,.7641956806182861
68059167,.08328563,1.173668742179871
68059171,-.0061944653,2.032169580459595
68060525,.034668136,.3186224102973938
68060527,.045921691,.7329633831977844
68060531,.067154072,.7323490381240845
68060535,.10372616,.7660125494003296
68061887,.13276473,1.554888129234314
68063247,-.046889521,1.061345219612122
68063251,-.046033427,1.157813787460327
68063255,-.0054319301,1.282522320747375
68064605,-.04326874,.876782238483429
68064609,-.036007714,.8379691243171692
68065287,.04650791,1.152244091033936
68065291,.047143035,1.254116296768188
68065307,.049705949,1.367785811424255
68065967,-.018613366,1.170816659927368
68065971,-.01654024,1.570186853408813
68066647,-.17351119,2.155010461807251
68066651,-.17993562,2.623623609542847
68066655,-.14825624,1.499732494354248
68068007,.047614038,.9755097031593323
68068011,.04257641,.8974321484565735
68068015,-.023935083,1.163854718208313
68068019,.088162862,1.172323822975159
68069367,.044449732,1.676361322402954
68071407,.023318589,2.798539400100708
68072087,-.12285164,.8453946113586426
68072091,-.029921243,1.123685598373413
68072095,-.027060598,.9954719543457031
68075487,.064297378,1.315477132797241
68076167,.031868074,.6580738425254822
68076171,.0034857485,.7096648216247559
68086367,.050437707,1.020881056785583
68087727,-.016915862,1.223617792129517
68090447,-.00019283353,1.441510438919067
68091131,-.037849095,1.442373514175415
68091135,.046086699,2.355838537216187
68093847,-.059796508,1.209001421928406
68093851,-.056119945,1.221219539642334
68093855,-.037096038,1.169694781303406
68093859,-.042334955,1.209138035774231
68095380,-.026431603,1.221219182014465
68097245,-.061469916,1.148906469345093
68097927,.0081400964,.8497810363769531
68102015,.017208394,1.626224875450134
68105407,-.14790533,1.478979706764221
68105411,-.12511919,.6836102604866028
68107447,.16328318,1.111729621887207
68107451,.17928797,.939851701259613
68107455,.17645562,1.113366365432739
68107459,.19652908,.9201140999794006
68108934,-.048923381,1.261289715766907
68111527,.16189396,.8451533317565918
68111531,.1470746,1.144871234893799
68112207,.015851986,1.266908049583435
68112211,.031506382,1.168587207794189
68112215,.043311484,1.083921551704407
68114247,.021038014,.9973307847976685
68114251,.024399694,1.178404927253723
